Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production,
0.106,6783,0.0012,0.8216,0.0183,0.1589,0.013566,
0.107,6743,0.001,0.8094,0.0245,0.1651,0.013486,
0.108,6707,0.0004,0.8046,0.0232,0.1718,0.013414,
0.109,7170,0.0005,0.8152,0.0229,0.1614,0.01434,
0.11,7609,0.0018,0.7936,0.0258,0.1788,0.015218,
0.111,7761,0.0011,0.7966,0.0241,0.1782,0.015522,
0.112,7814,0.002,0.79,0.0277,0.1803,0.015628,
0.113,7792,0.0014,0.799,0.0227,0.1769,0.015584,
0.114,8116,0.0007,0.785,0.026,0.1883,0.016232,
0.115,8302,0.0019,0.77,0.0291,0.199,0.016604,
0.116,8910,0.0019,0.7712,0.0282,0.1987,0.01782,
0.117,8899,0.0015,0.783,0.0272,0.1883,0.017798,
0.118,9061,0.0023,0.7674,0.031,0.1993,0.018122,
0.119,9331,0.0015,0.7654,0.0307,0.2024,0.018662,
0.12,9388,0.0023,0.7578,0.0333,0.2066,0.018776,
0.121,9577,0.0012,0.7688,0.0306,0.1994,0.019154,
0.122,9555,0.0011,0.7562,0.0304,0.2123,0.01911,
0.123,10669,0.0022,0.7402,0.0371,0.2205,0.021338,
0.124,10490,0.0022,0.7348,0.0376,0.2254,0.02098,
0.125,10650,0.0021,0.7268,0.0396,0.2315,0.0213,
0.126,10812,0.0021,0.7254,0.0417,0.2308,0.021624,
0.127,11202,0.0031,0.7232,0.0363,0.2374,0.022404,
0.128,11445,0.0021,0.7132,0.0381,0.2466,0.02289,
0.129,11130,0.0044,0.7114,0.0429,0.2413,0.02226,
0.13,11740,0.0038,0.7108,0.0389,0.2465,0.02348,
0.131,11483,0.0022,0.72,0.0396,0.2382,0.022966,
0.132,11931,0.003,0.7062,0.0412,0.2496,0.023862,
0.133,12018,0.0028,0.714,0.0408,0.2424,0.024036,
0.134,12536,0.005,0.7028,0.0444,0.2478,0.025072,
0.135,12770,0.0031,0.6976,0.0409,0.2584,0.02554,
0.136,13003,0.0033,0.6834,0.0427,0.2706,0.026006,
0.137,12515,0.0031,0.6966,0.0468,0.2535,0.02503,
0.138,13361,0.0033,0.686,0.0492,0.2615,0.026722,
0.139,13381,0.004,0.6864,0.0464,0.2632,0.026762,
0.14,13574,0.0035,0.6738,0.049,0.2737,0.027148,
0.141,14354,0.0045,0.6782,0.0493,0.268,0.028708,
0.142,14403,0.006,0.6672,0.0486,0.2782,0.028806,
0.143,14079,0.0042,0.6614,0.0509,0.2835,0.028158,
0.144,14354,0.0048,0.6536,0.0521,0.2895,0.028708,
0.145,14173,0.0049,0.6586,0.0534,0.2831,0.028346,
0.146,15092,0.0067,0.6342,0.0529,0.3062,0.030184,
