Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production,
0.467998,0,0.8448,0.0236,0.1316,0,0,
0.468998,0,0.842,0.0276,0.1304,0,0,
0.469998,0,0.8386,0.0264,0.135,0,0,
0.470997,0,0.8429,0.025,0.1321,0,0,
0.471997,0,0.8491,0.027,0.1239,0,0,
0.472997,0,0.8433,0.0276,0.1291,0,0,
0.473997,0,0.846,0.0276,0.1264,0,0,
0.474997,0,0.8386,0.0294,0.132,0,0,
0.475997,0,0.8382,0.0284,0.1334,0,0,
0.476997,0,0.8446,0.0252,0.1302,0,0,
0.477997,0,0.8417,0.0274,0.1309,0,0,
0.478997,0,0.8399,0.0276,0.1325,0,0,
0.479997,0,0.8441,0.028,0.1279,0,0,
0.480997,0,0.8426,0.0264,0.131,0,0,
0.481997,0,0.8441,0.0268,0.1291,0,0,
0.482997,0,0.8455,0.0254,0.1291,0,0,
0.483997,0,0.8434,0.0274,0.1292,0,0,
0.484997,0,0.8429,0.0254,0.1317,0,0,
0.485997,0,0.8481,0.0252,0.1267,0,0,
0.486997,0,0.8449,0.0246,0.1305,0,0,
0.487997,0,0.8442,0.0256,0.1302,0,0,
0.488997,0,0.8442,0.0282,0.1276,0,0,
0.489997,0,0.8419,0.027,0.1311,0,0,
0.490997,0,0.8422,0.0262,0.1316,0,0,
0.491997,0,0.8457,0.0268,0.1275,0,0,
0.492997,0,0.8399,0.0272,0.1329,0,0,
0.493997,0,0.846,0.0278,0.1262,0,0,
0.494997,0,0.8445,0.0246,0.1309,0,0,
0.495997,0,0.8493,0.0252,0.1255,0,0,
0.496997,0,0.8456,0.0268,0.1276,0,0,
0.497997,0,0.845,0.0256,0.1294,0,0,
0.498997,0,0.8378,0.0278,0.1344,0,0,
0.499997,0,0.8403,0.0266,0.1331,0,0,
0.500997,0,0.8433,0.028,0.1287,0,0,
0.501997,0,0.8455,0.0272,0.1273,0,0,
0.502997,0,0.851,0.0258,0.1232,0,0,
0.503997,0,0.8436,0.0264,0.13,0,0,
0.504997,0,0.8483,0.0248,0.1269,0,0,
0.505997,0,0.8438,0.0258,0.1304,0,0,
0.506997,0,0.8462,0.0282,0.1256,0,0,
0.507997,0,0.8444,0.025,0.1306,0,0,
0.508997,0,0.8426,0.0286,0.1288,0,0,
0.509997,0,0.8435,0.0274,0.1291,0,0,
0.510997,0,0.8464,0.024,0.1296,0,0,
0.511997,0,0.8461,0.0262,0.1277,0,0,
0.512997,0,0.8444,0.0252,0.1304,0,0,
0.513997,0,0.8428,0.0274,0.1298,0,0,
0.514997,0,0.8416,0.026,0.1324,0,0,
0.515997,0,0.84,0.0296,0.1304,0,0,
0.516997,0,0.8465,0.0252,0.1283,0,0,
0.517997,0,0.8485,0.026,0.1255,0,0,
0.518997,0,0.8475,0.0252,0.1273,0,0,
0.519997,0,0.8461,0.0256,0.1283,0,0,
0.520997,0,0.8486,0.0276,0.1238,0,0,
0.521997,0,0.8451,0.0276,0.1273,0,0,
0.522997,0,0.8548,0.026,0.1192,0,0,
0.523997,0,0.8499,0.0256,0.1245,0,0,
0.524997,0,0.8464,0.0272,0.1264,0,0,
0.525997,0,0.847,0.026,0.127,0,0,
0.526997,0,0.8492,0.0256,0.1252,0,0,
0.527997,0,0.8526,0.0242,0.1232,0,0,
0.528997,0,0.8572,0.0232,0.1196,0,0,
0.529997,0,0.8443,0.0258,0.1299,0,0,
0.530997,0,0.8487,0.0242,0.1271,0,0,
0.531997,0,0.8487,0.0274,0.1239,0,0,
0.532997,0,0.8475,0.0268,0.1257,0,0,
0.533997,0,0.8512,0.0236,0.1252,0,0,
0.534997,0,0.8441,0.0274,0.1285,0,0,
0.535997,0,0.8412,0.0278,0.131,0,0,
0.536997,0,0.8544,0.0244,0.1212,0,0,
0.537997,0,0.8538,0.0248,0.1214,0,0,
0.538997,0,0.8527,0.0246,0.1227,0,0,
0.539997,0,0.8475,0.026,0.1265,0,0,
0.540997,0,0.8471,0.0272,0.1257,0,0,
0.541997,0,0.8501,0.0278,0.1221,0,0,
0.542997,0,0.8484,0.0274,0.1242,0,0,
0.543997,0,0.8538,0.0222,0.124,0,0,
0.544997,0,0.8496,0.0262,0.1242,0,0,
0.545997,0,0.8482,0.0264,0.1254,0,0,
0.546997,0,0.85,0.0254,0.1246,0,0,
0.547997,0,0.849,0.0264,0.1246,0,0,
0.548997,0,0.8499,0.0242,0.1259,0,0,
0.549997,0,0.8447,0.0274,0.1279,0,0,
0.550996,0,0.8549,0.0258,0.1193,0,0,
0.551996,0,0.8501,0.0266,0.1233,0,0,
0.552996,0,0.8559,0.024,0.1201,0,0,
0.553996,0,0.8511,0.026,0.1229,0,0,
0.554996,0,0.8511,0.0272,0.1217,0,0,
0.555996,0,0.8489,0.0274,0.1237,0,0,
0.556996,0,0.8547,0.0256,0.1197,0,0,
0.557996,0,0.8534,0.0256,0.121,0,0,
0.558996,0,0.8506,0.0274,0.122,0,0,
0.559996,0,0.8527,0.026,0.1213,0,0,
0.560996,0,0.8527,0.026,0.1213,0,0,
0.561996,0,0.8524,0.0272,0.1204,0,0,
0.562996,0,0.8492,0.0288,0.122,0,0,
0.563996,0,0.846,0.0278,0.1262,0,0,
0.564996,0,0.8527,0.027,0.1203,0,0,
0.565996,0,0.8556,0.0232,0.1212,0,0,
0.566996,0,0.861,0.0244,0.1146,0,0,
0.567996,0,0.8511,0.0246,0.1243,0,0,
0.568996,0,0.8546,0.0258,0.1196,0,0,
0.569996,0,0.858,0.0242,0.1178,0,0,
0.570996,0,0.8508,0.027,0.1222,0,0,
0.571996,0,0.8515,0.0258,0.1227,0,0,
0.572996,0,0.8573,0.0242,0.1185,0,0,
0.573996,0,0.8536,0.0272,0.1192,0,0,
0.574996,0,0.8506,0.028,0.1214,0,0,
0.575996,0,0.8594,0.023,0.1176,0,0,
0.576996,0,0.8537,0.0258,0.1205,0,0,
0.577996,0,0.8522,0.0246,0.1232,0,0,
0.578996,0,0.853,0.0274,0.1196,0,0,
0.579996,0,0.854,0.024,0.122,0,0,
0.580996,0,0.8533,0.0252,0.1215,0,0,
0.581996,0,0.854,0.0272,0.1188,0,0,
0.582996,0,0.8519,0.0276,0.1205,0,0,
0.583996,0,0.8576,0.0258,0.1166,0,0,
0.584996,0,0.8552,0.0256,0.1192,0,0,
0.585996,0,0.8504,0.026,0.1236,0,0,
0.586996,0,0.8553,0.0262,0.1185,0,0,
0.587996,0,0.8538,0.0282,0.118,0,0,
0.588996,0,0.8528,0.0264,0.1208,0,0,
0.589996,0,0.8505,0.027,0.1225,0,0,
0.590996,0,0.8549,0.026,0.1191,0,0,
0.591996,0,0.8603,0.0242,0.1155,0,0,
0.592996,0,0.8545,0.0264,0.1191,0,0,
0.593996,0,0.8545,0.0258,0.1197,0,0,
0.594996,0,0.8604,0.0274,0.1122,0,0,
0.595996,0,0.8592,0.0238,0.117,0,0,
0.596996,0,0.8569,0.026,0.1171,0,0,
0.597996,0,0.8568,0.026,0.1172,0,0,
0.598996,0,0.8549,0.0272,0.1179,0,0,
0.599996,0,0.8552,0.0254,0.1194,0,0,
0.600996,0,0.8572,0.0262,0.1166,0,0,
0.601996,0,0.8551,0.0254,0.1195,0,0,
0.602996,0,0.8642,0.0236,0.1122,0,0,
0.603996,0,0.8577,0.0258,0.1165,0,0,
0.604996,0,0.8529,0.0262,0.1209,0,0,
0.605996,0,0.8614,0.0252,0.1134,0,0,
0.606996,0,0.8577,0.0246,0.1177,0,0,
0.607996,0,0.855,0.0266,0.1184,0,0,
0.608996,0,0.8548,0.0274,0.1178,0,0,
0.609996,0,0.8577,0.0256,0.1167,0,0,
0.610996,0,0.857,0.0284,0.1146,0,0,
0.611996,0,0.8616,0.0246,0.1138,0,0,
0.612996,0,0.8575,0.0244,0.1181,0,0,
0.613996,0,0.8589,0.0248,0.1163,0,0,
0.614996,0,0.8617,0.0268,0.1115,0,0,
0.615996,0,0.8647,0.0234,0.1119,0,0,
0.616996,0,0.8549,0.0266,0.1185,0,0,
0.617996,0,0.8582,0.0252,0.1166,0,0,
0.618996,0,0.8575,0.0268,0.1157,0,0,
0.619996,0,0.8627,0.025,0.1123,0,0,
0.620996,0,0.8624,0.0252,0.1124,0,0,
0.621996,0,0.8643,0.0246,0.1111,0,0,
0.622996,0,0.8637,0.024,0.1123,0,0,
0.623996,0,0.8625,0.024,0.1135,0,0,
0.624996,0,0.8619,0.0248,0.1133,0,0,
0.625996,0,0.8614,0.0256,0.113,0,0,
0.626996,0,0.8639,0.0258,0.1103,0,0,
0.627996,0,0.8621,0.025,0.1129,0,0,
0.628995,0,0.8612,0.0266,0.1122,0,0,
0.629995,0,0.8607,0.0266,0.1127,0,0,
0.630995,0,0.8651,0.025,0.1099,0,0,
0.631995,0,0.8624,0.0264,0.1112,0,0,
0.632995,0,0.8575,0.0274,0.1151,0,0,
0.633995,0,0.8669,0.0238,0.1093,0,0,
0.634995,0,0.8664,0.0228,0.1108,0,0,
0.635995,0,0.8612,0.0244,0.1144,0,0,
0.636995,0,0.8592,0.0258,0.115,0,0,
0.637995,0,0.8691,0.0232,0.1077,0,0,
0.638995,0,0.8693,0.0232,0.1075,0,0,
0.639995,0,0.857,0.0288,0.1142,0,0,
0.640995,0,0.8711,0.0224,0.1065,0,0,
0.641995,0,0.8662,0.025,0.1088,0,0,
0.642995,0,0.8686,0.023,0.1084,0,0,
0.643995,0,0.8664,0.0226,0.111,0,0,
0.644995,0,0.8666,0.0244,0.109,0,0,
0.645995,0,0.8628,0.027,0.1102,0,0,
0.646995,0,0.8715,0.023,0.1055,0,0,
0.647995,0,0.8674,0.0244,0.1082,0,0,
0.648995,0,0.8691,0.0234,0.1075,0,0,
0.649995,0,0.8647,0.0234,0.1119,0,0,
0.650995,0,0.8714,0.0246,0.104,0,0,
0.651995,0,0.8631,0.0256,0.1113,0,0,
0.652995,0,0.8632,0.028,0.1088,0,0,
0.653995,0,0.869,0.0248,0.1062,0,0,
0.654995,0,0.8657,0.0226,0.1117,0,0,
0.655995,0,0.8667,0.0242,0.1091,0,0,
0.656995,0,0.8734,0.0218,0.1048,0,0,
0.657995,0,0.8637,0.0246,0.1117,0,0,
0.658995,0,0.8688,0.025,0.1062,0,0,
0.659995,0,0.8665,0.0238,0.1097,0,0,
0.660995,0,0.8741,0.0236,0.1023,0,0,
0.661995,0,0.8701,0.0218,0.1081,0,0,
0.662995,0,0.869,0.0232,0.1078,0,0,
0.663995,0,0.8688,0.0248,0.1064,0,0,
0.664995,0,0.8738,0.024,0.1022,0,0,
0.665995,0,0.8727,0.0246,0.1027,0,0,
0.666995,0,0.876,0.0202,0.1038,0,0,
0.667995,0,0.8723,0.0246,0.1031,0,0,
0.668995,0,0.8693,0.0248,0.1059,0,0,
0.669995,0,0.8645,0.0236,0.1119,0,0,
0.670995,0,0.8719,0.0238,0.1043,0,0,
0.671995,0,0.8749,0.0228,0.1023,0,0,
0.672995,0,0.8774,0.0218,0.1008,0,0,
0.673995,0,0.8721,0.0242,0.1037,0,0,
0.674995,0,0.8775,0.0226,0.0999,0,0,
0.675995,0,0.8767,0.0226,0.1007,0,0,
0.676995,0,0.8803,0.0202,0.0995,0,0,
0.677995,0,0.8719,0.0246,0.1035,0,0,
0.678995,0,0.8781,0.0218,0.1001,0,0,
0.679995,0,0.8751,0.0228,0.1021,0,0,
0.680995,0,0.871,0.0248,0.1042,0,0,
0.681995,0,0.874,0.0242,0.1018,0,0,
0.682995,0,0.874,0.0214,0.1046,0,0,
0.683995,0,0.8773,0.0228,0.0999,0,0,
0.684995,0,0.8799,0.0226,0.0975,0,0,
0.685995,0,0.8709,0.0268,0.1023,0,0,
0.686995,0,0.8762,0.0234,0.1004,0,0,
0.687995,0,0.8795,0.0234,0.0971,0,0,
0.688995,0,0.8777,0.0218,0.1005,0,0,
0.689995,0,0.8825,0.0212,0.0963,0,0,
0.690995,0,0.8763,0.0222,0.1015,0,0,
0.691995,0,0.8783,0.0228,0.0989,0,0,
0.692995,0,0.8793,0.0194,0.1013,0,0,
0.693995,0,0.8821,0.0206,0.0973,0,0,
0.694995,0,0.878,0.0218,0.1002,0,0,
0.695995,0,0.8803,0.0224,0.0973,0,0,
0.696995,0,0.8749,0.025,0.1001,0,0,
0.697995,0,0.8804,0.0242,0.0954,0,0,
0.698995,0,0.8819,0.022,0.0961,0,0,
0.699995,0,0.8802,0.0214,0.0984,0,0,
0.700995,0,0.877,0.0234,0.0996,0,0,
0.701995,0,0.8831,0.0186,0.0983,0,0,
0.702995,0,0.885,0.0204,0.0946,0,0,
0.703995,0,0.8801,0.0234,0.0965,0,0,
0.704995,0,0.8821,0.0214,0.0965,0,0,
0.705994,0,0.8817,0.0192,0.0991,0,0,
0.706994,0,0.8887,0.0194,0.0919,0,0,
0.707994,0,0.8848,0.0202,0.095,0,0,
0.708994,0,0.8853,0.0208,0.0939,0,0,
0.709994,0,0.8853,0.0216,0.0931,0,0,
0.710994,0,0.8841,0.0196,0.0963,0,0,
0.711994,0,0.8868,0.0206,0.0926,0,0,
0.712994,0,0.8865,0.0204,0.0931,0,0,
0.713994,0,0.8801,0.0218,0.0981,0,0,
0.714994,0,0.8857,0.0222,0.0921,0,0,
0.715994,0,0.8799,0.0226,0.0975,0,0,
0.716994,0,0.8879,0.022,0.0901,0,0,
0.717994,0,0.8887,0.0188,0.0925,0,0,
0.718994,0,0.8842,0.0228,0.093,0,0,
0.719994,0,0.8861,0.02,0.0939,0,0,
0.720994,0,0.8859,0.0206,0.0935,0,0,
0.721994,0,0.8881,0.02,0.0919,0,0,
0.722994,0,0.8887,0.0204,0.0909,0,0,
0.723994,0,0.8869,0.0192,0.0939,0,0,
0.724994,0,0.8866,0.0212,0.0922,0,0,
0.725994,0,0.8813,0.023,0.0957,0,0,
0.726994,0,0.8854,0.0216,0.093,0,0,
0.727994,0,0.889,0.0208,0.0902,0,0,
0.728994,0,0.8861,0.0226,0.0913,0,0,
0.729994,0,0.8883,0.0216,0.0901,0,0,
0.730994,0,0.8878,0.0198,0.0924,0,0,
0.731994,0,0.8912,0.0194,0.0894,0,0,
0.732994,0,0.8915,0.0196,0.0889,0,0,
0.733994,0,0.8879,0.0226,0.0895,0,0,
0.734994,0,0.8918,0.0212,0.087,0,0,
0.735994,0,0.8899,0.021,0.0891,0,0,
0.736994,0,0.8906,0.0194,0.09,0,0,
0.737994,0,0.8929,0.0186,0.0885,0,0,
0.738994,0,0.8896,0.0198,0.0906,0,0,
0.739994,0,0.9039,0.0172,0.0789,0,0,
0.740994,0,0.8893,0.0198,0.0909,0,0,
0.741994,0,0.893,0.0198,0.0872,0,0,
0.742994,0,0.893,0.0208,0.0862,0,0,
0.743994,0,0.8882,0.019,0.0928,0,0,
0.744994,0,0.8931,0.02,0.0869,0,0,
0.745994,0,0.8923,0.0162,0.0915,0,0,
0.746994,0,0.8936,0.0194,0.087,0,0,
0.747994,0,0.8925,0.0208,0.0867,0,0,
0.748994,0,0.8936,0.0198,0.0866,0,0,
0.749994,0,0.8963,0.0196,0.0841,0,0,
0.750994,0,0.8969,0.0184,0.0847,0,0,
0.751994,0,0.8983,0.0174,0.0843,0,0,
0.752994,0,0.9051,0.0162,0.0787,0,0,
0.753994,0,0.8937,0.0194,0.0869,0,0,
0.754994,0,0.8971,0.0184,0.0845,0,0,
0.755994,0,0.8974,0.0182,0.0844,0,0,
0.756994,0,0.8965,0.0172,0.0863,0,0,
0.757994,0,0.8963,0.018,0.0857,0,0,
0.758994,0,0.9004,0.0188,0.0808,0,0,
0.759994,0,0.8988,0.0178,0.0834,0,0,
0.760994,0,0.899,0.0196,0.0814,0,0,
0.761994,0,0.9025,0.0184,0.0791,0,0,
0.762994,0,0.9037,0.0176,0.0787,0,0,
0.763994,0,0.902,0.0174,0.0806,0,0,
0.764994,0,0.9007,0.0168,0.0825,0,0,
0.765994,0,0.8994,0.0172,0.0834,0,0,
0.766994,0,0.9054,0.0166,0.078,0,0,
0.767994,0,0.897,0.0198,0.0832,0,0,
0.768994,0,0.9044,0.0162,0.0794,0,0,
0.769994,0,0.9041,0.017,0.0789,0,0,
0.770994,0,0.9063,0.0168,0.0769,0,0,
0.771994,0,0.9019,0.0174,0.0807,0,0,
0.772994,0,0.9073,0.0152,0.0775,0,0,
0.773994,0,0.9071,0.015,0.0779,0,0,
0.774994,0,0.9049,0.0172,0.0779,0,0,
0.775994,0,0.9069,0.0158,0.0773,0,0,
0.776994,0,0.9038,0.0162,0.08,0,0,
0.777994,0,0.9049,0.0168,0.0783,0,0,
0.778994,0,0.9037,0.0164,0.0799,0,0,
0.779994,0,0.907,0.0168,0.0762,0,0,
0.780994,0,0.9076,0.0158,0.0766,0,0,
0.781994,0,0.9025,0.0162,0.0813,0,0,
0.782994,0,0.9085,0.0162,0.0753,0,0,
0.783993,0,0.9118,0.016,0.0722,0,0,
0.784993,0,0.9078,0.0166,0.0756,0,0,
0.785993,0,0.9038,0.0156,0.0806,0,0,
0.786993,0,0.9063,0.0154,0.0783,0,0,
0.787993,0,0.9079,0.0144,0.0777,0,0,
0.788993,0,0.9069,0.0154,0.0777,0,0,
0.789993,0,0.9098,0.0146,0.0756,0,0,
0.790993,0,0.9096,0.0158,0.0746,0,0,
0.791993,0,0.9109,0.0144,0.0747,0,0,
0.792993,0,0.9073,0.0144,0.0783,0,0,
0.793993,0,0.9156,0.0126,0.0718,0,0,
0.794993,0,0.9107,0.0152,0.0741,0,0,
0.795993,0,0.9129,0.015,0.0721,0,0,
0.796993,0,0.9132,0.0136,0.0732,0,0,
0.797993,0,0.9064,0.0152,0.0784,0,0,
0.798993,0,0.914,0.0164,0.0696,0,0,
0.799993,0,0.9137,0.0134,0.0729,0,0,
0.800993,0,0.9176,0.0122,0.0702,0,0,
0.801993,0,0.9135,0.0148,0.0717,0,0,
0.802993,0,0.9162,0.0148,0.069,0,0,
0.803993,0,0.9139,0.0146,0.0715,0,0,
0.804993,0,0.917,0.014,0.069,0,0,
0.805993,0,0.9187,0.0104,0.0709,0,0,
0.806993,0,0.9195,0.0126,0.0679,0,0,
0.807993,0,0.915,0.0144,0.0706,0,0,
0.808993,0,0.9215,0.011,0.0675,0,0,
0.809993,0,0.9192,0.013,0.0678,0,0,
0.810993,0,0.915,0.0156,0.0694,0,0,
0.811993,0,0.9203,0.0114,0.0683,0,0,
0.812993,0,0.916,0.013,0.071,0,0,
0.813993,0,0.915,0.0134,0.0716,0,0,
0.814993,0,0.9189,0.0112,0.0699,0,0,
0.815993,0,0.9202,0.0122,0.0676,0,0,
0.816993,0,0.9188,0.012,0.0692,0,0,
0.817993,0,0.9211,0.011,0.0679,0,0,
0.818993,0,0.9166,0.012,0.0714,0,0,
0.819993,0,0.9221,0.012,0.0659,0,0,
0.820993,0,0.9208,0.0122,0.067,0,0,
0.821993,0,0.9215,0.0104,0.0681,0,0,
0.822993,0,0.9267,0.0122,0.0611,0,0,
0.823993,0,0.9162,0.0136,0.0702,0,0,
0.824993,0,0.9181,0.0146,0.0673,0,0,
0.825993,0,0.9209,0.0142,0.0649,0,0,
0.826993,0,0.9247,0.012,0.0633,0,0,
0.827993,0,0.9203,0.0104,0.0693,0,0,
0.828993,0,0.9281,0.0096,0.0623,0,0,
0.829993,0,0.9232,0.0114,0.0654,0,0,
0.830993,0,0.9227,0.0144,0.0629,0,0,
0.831993,0,0.9239,0.0128,0.0633,0,0,
0.832993,0,0.926,0.0118,0.0622,0,0,
0.833993,0,0.9275,0.0086,0.0639,0,0,
0.834993,0,0.9243,0.0114,0.0643,0,0,
0.835993,0,0.9258,0.0116,0.0626,0,0,
0.836993,0,0.9289,0.0106,0.0605,0,0,
0.837993,0,0.9308,0.009,0.0602,0,0,
0.838993,0,0.9309,0.007,0.0621,0,0,
0.839993,0,0.9303,0.0092,0.0605,0,0,
0.840993,0,0.9299,0.0098,0.0603,0,0,
0.841993,0,0.9278,0.0098,0.0624,0,0,
0.842993,0,0.9271,0.0102,0.0627,0,0,
0.843993,0,0.9274,0.0106,0.062,0,0,
0.844993,0,0.9289,0.011,0.0601,0,0,
0.845993,0,0.9318,0.0074,0.0608,0,0,
0.846993,0,0.9316,0.0088,0.0596,0,0,
0.847993,0,0.9309,0.0092,0.0599,0,0,
0.848993,0,0.9328,0.009,0.0582,0,0,
0.849993,0,0.9325,0.0092,0.0583,0,0,
0.850993,0,0.9346,0.0084,0.057,0,0,
0.851993,0,0.9342,0.007,0.0588,0,0,
0.852993,0,0.9341,0.0092,0.0567,0,0,
0.853993,0,0.9349,0.0106,0.0545,0,0,
0.854993,0,0.9357,0.0096,0.0547,0,0,
0.855993,0,0.9363,0.0074,0.0563,0,0,
0.856993,0,0.9318,0.0086,0.0596,0,0,
0.857993,0,0.938,0.0078,0.0542,0,0,
0.858993,0,0.9406,0.008,0.0514,0,0,
0.859993,0,0.9367,0.0096,0.0537,0,0,
0.860993,0,0.9364,0.0086,0.055,0,0,
0.861992,0,0.9403,0.0072,0.0525,0,0,
0.862992,0,0.9396,0.0068,0.0536,0,0,
0.863992,0,0.9378,0.0082,0.054,0,0,
0.864992,0,0.9385,0.008,0.0535,0,0,
0.865992,0,0.9397,0.0068,0.0535,0,0,
0.866992,0,0.9379,0.009,0.0531,0,0,
0.867992,0,0.934,0.0104,0.0556,0,0,
0.868992,0,0.9399,0.0082,0.0519,0,0,
0.869992,0,0.946,0.006,0.048,0,0,
0.870992,0,0.9384,0.008,0.0536,0,0,
0.871992,0,0.945,0.0052,0.0498,0,0,
0.872992,0,0.9369,0.0092,0.0539,0,0,
0.873992,0,0.9455,0.0076,0.0469,0,0,
0.874992,0,0.9461,0.0058,0.0481,0,0,
0.875992,0,0.9455,0.007,0.0475,0,0,
0.876992,0,0.9399,0.008,0.0521,0,0,
0.877992,0,0.9392,0.0084,0.0524,0,0,
0.878992,0,0.9449,0.0072,0.0479,0,0,
0.879992,0,0.9458,0.0066,0.0476,0,0,
0.880992,0,0.9489,0.0042,0.0469,0,0,
0.881992,0,0.9444,0.0076,0.048,0,0,
0.882992,0,0.9453,0.0076,0.0471,0,0,
0.883992,0,0.9475,0.0064,0.0461,0,0,
0.884992,0,0.948,0.006,0.046,0,0,
0.885992,0,0.9472,0.0068,0.046,0,0,
0.886992,0,0.9438,0.0062,0.05,0,0,
0.887992,0,0.9525,0.0038,0.0437,0,0,
0.888992,0,0.9478,0.0062,0.046,0,0,
0.889992,0,0.9527,0.0044,0.0429,0,0,
0.890992,0,0.9511,0.006,0.0429,0,0,
0.891992,0,0.9492,0.006,0.0448,0,0,
0.892992,0,0.9529,0.0044,0.0427,0,0,
0.893992,0,0.9505,0.0042,0.0453,0,0,
0.894992,0,0.9487,0.0054,0.0459,0,0,
0.895992,0,0.9513,0.0046,0.0441,0,0,
0.896992,0,0.9495,0.0062,0.0443,0,0,
0.897992,0,0.9541,0.0048,0.0411,0,0,
0.898992,0,0.9553,0.0046,0.0401,0,0,
0.899992,0,0.9561,0.0042,0.0397,0,0,
0.900992,0,0.9528,0.004,0.0432,0,0,
0.901992,0,0.9564,0.0042,0.0394,0,0,
0.902992,0,0.9529,0.006,0.0411,0,0,
0.903992,0,0.9625,0.0034,0.0341,0,0,
0.904992,0,0.9562,0.0042,0.0396,0,0,
0.905992,0,0.9581,0.0042,0.0377,0,0,
0.906992,0,0.9565,0.0044,0.0391,0,0,
0.907992,0,0.9549,0.004,0.0411,0,0,
0.908992,0,0.9552,0.0046,0.0402,0,0,
0.909992,0,0.9591,0.0044,0.0365,0,0,
0.910992,0,0.9605,0.0042,0.0353,0,0,
0.911992,0,0.958,0.0036,0.0384,0,0,
0.912992,0,0.9592,0.0034,0.0374,0,0,
0.913992,0,0.9615,0.0026,0.0359,0,0,
0.914992,0,0.9607,0.0032,0.0361,0,0,
0.915992,0,0.9589,0.0036,0.0375,0,0,
0.916992,0,0.9606,0.0028,0.0366,0,0,
0.917992,0,0.9639,0.0034,0.0327,0,0,
0.918992,0,0.9612,0.004,0.0348,0,0,
0.919992,0,0.9626,0.0018,0.0356,0,0,
0.920992,0,0.9641,0.0022,0.0337,0,0,
0.921992,0,0.9642,0.0028,0.033,0,0,
0.922992,0,0.9616,0.003,0.0354,0,0,
0.923992,0,0.9633,0.0028,0.0339,0,0,
0.924992,0,0.9654,0.0024,0.0322,0,0,
0.925992,0,0.9646,0.004,0.0314,0,0,
0.926992,0,0.9646,0.0026,0.0328,0,0,
0.927992,0,0.9698,0.0016,0.0286,0,0,
0.928992,0,0.9651,0.0032,0.0317,0,0,
0.929992,0,0.9653,0.0026,0.0321,0,0,
0.930992,0,0.9688,0.0026,0.0286,0,0,
0.931992,0,0.9675,0.0026,0.0299,0,0,
0.932992,0,0.9687,0.0026,0.0287,0,0,
0.933992,0,0.9647,0.0028,0.0325,0,0,
0.934992,0,0.9697,0.002,0.0283,0,0,
0.935992,0,0.9692,0.0016,0.0292,0,0,
0.936992,0,0.9675,0.0016,0.0309,0,0,
0.937992,0,0.9689,0.0018,0.0293,0,0,
0.938991,0,0.9722,0.002,0.0258,0,0,
0.939991,0,0.9697,0.0024,0.0279,0,0,
0.940991,0,0.973,0.0014,0.0256,0,0,
0.941991,0,0.9746,0.0014,0.024,0,0,
0.942991,0,0.9733,0.0016,0.0251,0,0,
0.943991,0,0.9716,0.0022,0.0262,0,0,
0.944991,0,0.9762,0.002,0.0218,0,0,
0.945991,0,0.9733,0.002,0.0247,0,0,
0.946991,0,0.9758,0.001,0.0232,0,0,
0.947991,0,0.9759,0.0016,0.0225,0,0,
0.948991,0,0.9764,0.0016,0.022,0,0,
0.949991,0,0.9803,0.0008,0.0189,0,0,
0.950991,0,0.9761,0.0012,0.0227,0,0,
0.951991,0,0.9797,0.0012,0.0191,0,0,
0.952991,0,0.9811,0.0004,0.0185,0,0,
0.953991,0,0.9766,0.0012,0.0222,0,0,
0.954991,0,0.9794,0.001,0.0196,0,0,
0.955991,0,0.9816,0.0004,0.018,0,0,
0.956991,0,0.9782,0.0012,0.0206,0,0,
0.957991,0,0.9784,0.0014,0.0202,0,0,
0.958991,0,0.9826,0.0002,0.0172,0,0,
0.959991,0,0.979,0.0012,0.0198,0,0,
0.960991,0,0.9801,0.0012,0.0187,0,0,
0.961991,0,0.98,0.0012,0.0188,0,0,
0.962991,0,0.9862,0.0002,0.0136,0,0,
0.963991,0,0.982,0.0008,0.0172,0,0,
0.964991,0,0.9824,0.0006,0.017,0,0,
0.965991,0,0.9837,0.0006,0.0157,0,0,
0.966991,0,0.9829,0.0006,0.0165,0,0,
0.967991,0,0.9841,0.0004,0.0155,0,0,
0.968991,0,0.9841,0.0008,0.0151,0,0,
0.969991,0,0.9848,0.0002,0.015,0,0,
0.970991,0,0.9856,0.001,0.0134,0,0,
0.971991,0,0.9871,0.0002,0.0127,0,0,
0.972991,0,0.9884,0.0002,0.0114,0,0,
0.973991,0,0.9863,0.0006,0.0131,0,0,
0.974991,0,0.986,0.0002,0.0138,0,0,
0.975991,0,0.9888,0,0.0112,0,0,
0.976991,0,0.9883,0.0008,0.0109,0,0,
0.977991,0,0.9879,0.0002,0.0119,0,0,
0.978991,0,0.9893,0,0.0107,0,0,
0.979991,0,0.9908,0.0002,0.009,0,0,
0.980991,0,0.9907,0.0002,0.0091,0,0,
0.981991,0,0.9903,0.0004,0.0093,0,0,
0.982991,0,0.9919,0,0.0081,0,0,
0.983991,0,0.9932,0,0.0068,0,0,
0.984991,0,0.9914,0.0002,0.0084,0,0,
0.985991,0,0.9931,0.0002,0.0067,0,0,
0.986991,0,0.9933,0.0004,0.0063,0,0,
0.987991,0,0.9955,0,0.0045,0,0,
0.988991,0,0.9943,0.0002,0.0055,0,0,
0.989991,0,0.9963,0,0.0037,0,0,
